contrast,correlation,energy,homogeneity,mean,standard_deviation,entropy,rms,variance,smoothness,kurtosis,skewness,idm,label
0.0467,0.8312,0.6789,0.9767,0.0049,0.0897,3.2891,0.0898,0.0080,0.9482,9.6588,0.9322,-0.5171,MALIGNANT
0.0332,0.8298,0.7728,0.9834,0.0035,0.0897,3.5640,0.0898,0.0080,0.9287,6.3083,0.4699,2.5736,MALIGNANT
0.0145,0.8807,0.8640,0.9927,0.0043,0.0897,2.3362,0.0898,0.0081,0.9406,32.1813,2.9442,1.9618,MALIGNANT
0.0244,0.8809,0.7712,0.9878,0.0035,0.0897,3.4910,0.0898,0.0080,0.9283,6.4228,0.4596,1.0986,MALIGNANT
0.0028,0.9282,0.9580,0.9986,0.0053,0.0897,1.2322,0.0898,0.0081,0.9516,60.0395,5.3509,4.6313,MALIGNANT
0.0424,0.8402,0.6943,0.9788,0.0028,0.0898,3.6155,0.0898,0.0080,0.9113,5.3163,0.3974,0.8888,MALIGNANT
0.0232,0.7515,0.8841,0.9884,0.0060,0.0896,3.4645,0.0898,0.0080,0.9570,11.7111,1.1652,1.4316,MALIGNANT
0.0070,0.9083,0.9172,0.9965,0.0039,0.0897,2.8332,0.0898,0.0080,0.9357,22.7699,2.3670,0.4694,MALIGNANT
0.0497,0.8429,0.6365,0.9752,0.0047,0.0897,3.6061,0.0898,0.0080,0.9456,6.4958,0.5407,2.0276,MALIGNANT
0.0199,0.8756,0.8200,0.9900,0.0036,0.0897,3.1499,0.0898,0.0081,0.9309,12.4723,1.1630,1.8460,MALIGNANT
0.0452,0.8601,0.6339,0.9774,0.0041,0.0897,3.4959,0.0898,0.0080,0.9390,7.3721,0.5960,-0.3592,MALIGNANT
0.0614,0.8177,0.6059,0.9693,0.0046,0.0897,3.6027,0.0898,0.0080,0.9448,5.8923,0.6348,0.2051,MALIGNANT
0.0467,0.8312,0.6789,0.9767,0.0049,0.0897,3.2891,0.0898,0.0080,0.9482,9.6588,0.9322,-0.5171,MALIGNANT
0.0206,0.6603,0.9192,0.9897,0.0040,0.0897,2.6242,0.0898,0.0081,0.9375,18.2647,1.6566,-1.2657,MALIGNANT
0.0531,0.7415,0.7442,0.9734,0.0038,0.0897,2.7008,0.0898,0.0081,0.9336,15.3737,1.3867,0.6525,MALIGNANT
0.0349,0.7584,0.8220,0.9826,0.0047,0.0897,2.9452,0.0898,0.0081,0.9459,9.6298,0.8627,1.8211,MALIGNANT
0.0981,0.7568,0.5082,0.9510,0.0025,0.0898,3.2493,0.0898,0.0080,0.9016,5.9124,0.3855,-0.6123,MALIGNANT
